MEI Jiawei, Research Associate Scientist, Physics
Meng Fanyu, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
MIN Long, Research Assistant Professor, Chemistry
MODESTO, Leonardo, Associate Professor
Xiaoming Ma, Research Assistant Professor, Institute for Quanfum Science and Engineering
Yongsheng Ma, Professor, Mechanical and Energy Engineering
Zhaoyuan MA, Professor, School of System Design and Intelligent Manufacturing
Jingjing Niu, Assistant Researcher, Institute for Quanfum Science and Engineering
NG, Alan Man-Ching, Associate Head
Ng, Jack Tsz-Fai, Associate Professor
NING Chengqing, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
NIU Yujuan, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
OU Gang, Professor of Engineering Practice, School of System Design and Intelligent Manufacturing
OU Xijun,助理教授, Biology
Guoxian Pei, Chair Professor, School of Medicine
KENT Patterson, English Instructor, Center for Language Education
PAN Quan, Assistant Professor, School of Microelectronics
Pan Yang, Assistant professor, Mechanical and Energy Engineering
PI Sheng, Music Theory Teacher, Art Center
PIMPL Peter, Associate Professor, Biology
STEPHEN Pellerine, English Instructor, Center for Language Education
Tianluo Pan, Research Assistant Professor, Institute for Quanfum Science and Engineering
Yonggang Pei, , School of Public Health and Emergency Management
Gongming Qian, Professor, Division of Information Systems & Management Engineering
Lin Qiu, Assistant Professor, Division of Information Systems & Management Engineering
QI Wei, Research Assistant Professor, Environmental Science and Engineering
QIAN Ailin, Research Assistant Professor, Centre for Humanities
QIAN Xuesheng, Research Assistant Professor, Ocean Science and Engineering
Qin Jianqiang, Teaching Professor, School of Medicine
Qin Zheng, Professor, Division of Information Systems & Management Engineering
QIU Longbin, Assistant Professor, Mechanical and Energy Engineering
QIU Wenhui, Assistant Professor, School of Public Health and Emergency Management
QIU Yannan, Associate Professor, Mathematics
QU Jianfei, Research Assistant Professor, Chemistry
QU Yan, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
QUAN Chaoyu, Research Associate, International Center for Mathematics
Quan Mao, Research Assistant Professor, Grubbs Institute
QUAN Zewei, Professor, Chemistry
Yunyi QIAN, Research Assistant Professor, Earth and Space Sciences
Hai Rao, Department Head of Biochemistry, Department of Biochemistry
Ke Ren, Chinese Instructor, Center for Language Education
Li Ren, English instructor, Center for Language Education
RAM RAJENDRAN, Research Assistant Professor, School of Microelectronics
RAMACHANDRAN, Rajendran, Research Assistant Professor
RAN Jiangjun, Assistant Professor, Earth and Space Sciences
RAO Feng, Research Scientist, Biology
RAO Xiaofeng, Research Assistant Professor, Grubbs Institute
REN Fuzeng, National Science Fund for Excellent Young Scholars, Materials Science and Engineering
REN Guangming, Research Professor, Mechanics and Aerospace Engineering
REN Hengxin, Associate Professor, Earth and Space Sciences
REN Huan, Teaching Professor, School of Medicine
Robert Sokolovskij, Research Assistant Professor, School of Microelectronics
RONG Yiming, Fellow of American Society of Mechanical Engineers (ASME Fellow), Mechanical and Energy Engineering
Jian Qing SHI, Professor, Department of Statistics and Data Science
Longxing SU, Research Associate Professor, School of Microelectronics
Marcel Zaes Sagesser, Assistant Professor, School of Design
Moris Strub, Assistant Professor, Division of Information Systems & Management Engineering
Perry Shum, OSA Fellow, SPIE Fellow
Qiao Song, Research Assistant Professor, Grubbs Institute
SHAN Xiaowen, Fellow of the American Physical Society, Mechanics and Aerospace Engineering
SHAO Jifeng, Research Assistant Professor, Physics
SHAO Liyang, Associate Professor, Electrical and Electronic Engineering
SHAO Qiman, Department Head, Department of Statistics and Data Science
SHEN Hong, Chair Professor, Research Center for Higher Education
SHEN Huizhong, Assistant Professor, College of Engineering
SHEN Xiangying," The selector of ""Peacock Project"" of Shenzhen (Class B)", Materials Science and Engineering
SHI Haiyun, Associate Professor, Environmental Science and Engineering
SHI Jianghong, Teaching Professor, Environmental Science and Engineering
SHI Yuhui, Chair Professor, Computer Science and Engineering
Shimin Shuai, Assistant Professor, Department of Human Cell Biology and Genetics
SHU Wei, Associate Professor, Chemistry
SHUAI Songlin, Professor, Political Education and Research Center
SIFAKIS, Joseph, Turing Prize winner
SONG Chaoyang, Assistant Professor, Mechanical and Energy Engineering
SONG Jinhua, Professor, School of Innovation and Entrepreneurship
Song Junwei, Research Assistant Professor, School of Medicine
Song Kun, Associate Professor, Biology
SONG Lan, Research Associate Professor, Environmental Science and Engineering
SONG Xuan, Associate Professor, Computer Science and Engineering
SONG Xuefeng, Associate Researcher, Institute for Quanfum Science and Engineering
SONG Xuejun, National Distinguished Teachers Award, Department of Medical Neuroscience
SONG Zhangqi, Research Professor, School of Innovation and Entrepreneurship
Sornette Didier, Co-dean of the Institute of Risk Analysis, Prediction & Management (Risks-X)
SU Fengyu, Research Associate Scientist, Academy for Advanced Interdisciplinary Sciences
SU Huimin, Research Assistant Professor, Institute for Quanfum Science and Engineering
SU Linlin, Associate Professor, Mathematics
Su Ming-Yuan, Assistant Professor, Department of Biochemistry
SUI Senfang, Visiting Distinguished Professor (Long-Term), Biology
SUN Bianxia,Associate Professor（Teaching）, Department of Finance
SUN Dazhi," The selector of ""Peacock Project"" of Shenzhen (Class B)", Materials Science and Engineering
SUN Huiliang, Research Associate Scientist, Materials Science and Engineering
SUN Jingrui, Tenure Track Assistant Professor, Mathematics
SUN Xiaowei, Chair Professor, Electrical and Electronic Engineering
SUN Yan, Lecturer of PE, Sports Center
SUN Ying, Associate Professor, Biology
SUN Yujie, Associate Professor, Physics
Sun Zhifeng, Associate Professor, Political Education and Research Center
Sun Yaochong, Research Assistant Professor, Earth and Space Sciences
SUO Hongri, Research Assistant Professor, Environmental Science and Engineering
Yi Song, Assistant Professor, Biology
David S. Y .TONG, Visiting Distinguished Professor (Long-Term), Physics
Dian Tan, Associate Researcher, Institute for Quanfum Science and Engineering
TAN Bin, Chair Professor, Chemistry
TAN Huanshu, Assistant professor, Mechanics and Aerospace Engineering
TAN Jianrong, Visiting Distinguished Professor (Long-Term), Mechanical and Energy Engineering
TAN Shin Hwei, Assistant Professor, Computer Science and Engineering
TANG Bin, Associate Professor, College of Engineering
TANG Bo, Assistant Professor, Computer Science and Engineering
TANG Hao, Research Assistant Professor, College of Engineering
TANG Jianbo, Assistant Professor, College of Engineering
TANG Jigen, Chair Professor, Social Science Center
TANG Ke, Professor, Computer Science and Engineering
TANG Keyang, Director of the Media and Cross-disciplinary Studies, Centre for Humanities
TANG Tao, Chinese Academy of Sciences Member, International Center for Mathematics
TANG Tingting, Research Assistant Professor, Mechanics and Aerospace Engineering
TANG Xiaoying, Assistant Professor, Electrical and Electronic Engineering
TANG Yong, Chinese Academy of Sciences Member, Chemistry
TANG Yuanyuan, Associate Professor, Environmental Science and Engineering
TANG Ming, , Computer Science and Engineering
TAO Shu, Member, Chinese Academy of Sciences (CAS)
Teng Mingzheng, Associate Professor, Political Education and Research Center
THEODOROPOULOS, Georgios, Fellow of World Academy of Art and Science
TIAN Guoliang, Professor, Department of Statistics and Data Science
TIAN Leilei," The selector of ""Peacock Project"" of Shenzhen (Class C)", Materials Science and Engineering
TIAN miao, , School of Medicine
TIAN Ruijun, Professor, Chemistry
Tian Ruilin, Assistant Professor, School of Medicine
Tian Song, Director of the Center for Science and Civilization, Centre for Humanities
TIAN Xin-xin, Research Associate, School of Medicine
TIAN Yanqing," The selector of ""Peacock Project"" of Shenzhen(Class B)", Materials Science and Engineering
TIAN Yong, Research Associate Professor, Environmental Science and Engineering
TIAN Zhan, Research Professor, Environmental Science and Engineering
Zhaobo TIAN, , School of Microelectronics
Zhenbing Tan, Assistant Researcher, Institute for Quanfum Science and Engineering
Zhenliang TIAN, Assistant Professor, Earth and Space Sciences
URES, Raul Mario De La Madrid, Professor
VIKRANT Gupta, Research Assistant Professor, Mechanics and Aerospace Engineering
Volker Altst盲dt, Member of acatech (NATIONAL ACADEMY OF SCIENCE AND ENGINEERING), School of System Design and Intelligent Manufacturing
Chao Wang, Assistant Professor, Department of Statistics and Data Science
Fang WAN, Assistant Professor, School of Design
Fudong Wang, Assistant Researcher, Institute for Quanfum Science and Engineering
Hao Wang, Associate Researcher, Institute for Quanfum Science and Engineering
Jianchun Wang, Associate Professor, Grubbs Institute
Ke WANG, Professor, School of System Design and Intelligent Manufacturing
LILI WANG, , Social Science Center
Raymond Yu Wang, Associate Professor, Social Science Center
Rowan Wang, Department of Information Systems and Management Engineering, College of Business
Shuai Wang, Research Assistant Professor, Electrical and Electronic Engineering
Shuo Wang, Assistant Researcher, Institute for Quanfum Science and Engineering
Shuxun Wang, Head, Department of Finance
Songhao Wang, Assistant Professor, Division of Information Systems & Management Engineering
WAN Xiaodong, Assistant professor, Mechanics and Aerospace Engineering
WANG Bo, Research Assistant Professor, Mechanics and Aerospace Engineering
WANG Boqing, Research Professor, Research Center for Higher Education
WANG Chao, Research Assistant Professor, Environmental Science and Engineering
WANG Chen, Assistant Professor, College of Engineering
Wang Chunying, Associate Professor, Political Education and Research Center
WANG Dashan, Research Assistant Professor, Environmental Science and Engineering
WANG Dejun, Director of the Center for Ideological and Political Education and Research, Political Education and Research Center
WANG Dou, Research Assistant Professor, College of Engineering
WANG Fei, Outstanding young scholar in science and technology innovation, School of Microelectronics
WANG Fei, Research Assistant Professor, Mechanics and Aerospace Engineering
WANG Fuli, Research Assistant Professor, Chemistry
WANG Gan, Associate Professor, Physics
WANG Guanyu, Research Scientist, Biology
WANG Guichao, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
WANG Haidong, Assistant Professor, School of Public Health and Emergency Management
WANG Haijiang, Canadian Academy of Engineering Fellow, Mechanical and Energy Engineering
WANG Hao, Research Assistant Professor, Mechanics and Aerospace Engineering
WANG He, Assistant Professor, Department of Finance
WANG Hong, The National Nature Science Fund for Distinguished Young Scholars, Materials Science and Engineering
WANG Hongqiang, Associate Professor, Mechanical and Energy Engineering
WANG Hsing-Lin," The selector of ""Peacock Project"" of Shenzhen(Class A)", Materials Science and Engineering
WANG Jianchun, Associate Professor, Mechanics and Aerospace Engineering
WANG Jie, Assistant Professor, Chemistry
Wang Jinlong, Research Associate Scientist, Materials Science and Engineering
WANG Jun, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
WANG Junjian, Associate Professor, Environmental Science and Engineering
WANG Junling, Chair Professor, Physics
WANG Kai, Outstanding young scholar in science and technology innovation, Electrical and Electronic Engineering
WANG Kedong, Teaching Professor, Physics
WANG Lianping, APS fellow,ASME fellow
WANG Lin, Associate professor, School of Medicine
WANG Min, Assistant Professor, School of Microelectronics
WANG Pei, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
Wang Peng, Fellow of the American Association for the Advancement of Science, Department of Pharmacology
Wang Pengfei, , Academy for Advanced Interdisciplinary Sciences
WANG Pinghui, National Leading Talent, School of Innovation and Entrepreneurship
WANG Qi, Assistant Professor, Computer Science and Engineering
WANG Qing, Research Associate Professor, School of Microelectronics
WANG Quan, The Royal Society of Canada Fellow The Canadian Academy of Engineering Fellow, Mechanics and Aerospace Engineering
WANG Ququan, Professor, Physics
WANG Rong, Associate Professor, Mathematics
WANG Rui, Associate Professor, Electrical and Electronic Engineering
WANG Shanmin, Assistant Professor, Physics
WANG Shuai, Associate Professor, Mechanical and Energy Engineering
WANG Susheng, the member of the President__ Office, Director of Planning and Development
WANG Taihong, Chair Professor, Electrical and Electronic Engineering
WANG Wenjin, Associate Professor, Biomedical Engineering
WANG Wu, Research Assistant Professor, Physics
WANG Xiaofei, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
WANG Xiaokui, Professor, Social Science Center
WANG Xiaoming, Department Chair, Mathematics
WANG Xiaoxiao, Research Assistant Professor, Biology
WANG Xin, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
WANG Xinjie, Associate Professor, Department of Finance
WANG Xuejing, Research Associate Professor, Environmental Science and Engineering
WANG Yang, Teaching Associate Professor, Environmental Science and Engineering
WANG Yang Gang, Associate Professor, Chemistry
Wang Yijin, Associate Professor, School of Medicine
Wang Yong-Bin, Research Associate Professor, Grubbs Institute
WANG Yukun, Professor, School of Medicine
WANG Yunpeng, Research Associate, Mechanics and Aerospace Engineering
WANG Yuze, Assistant Professor, Ocean Science and Engineering
WANG Zheng, Professor, Mechanical and Energy Engineering
WANG Zhenkun, Assistant Professor, School of System Design and Intelligent Manufacturing
WANG Zhongying, Associate Professor, Environmental Science and Engineering
WANG Zhuo, Research Assistant Professor, School of Medicine
Wang Yuan, Associate professor with tenure, Department of Finance
Wei QiHuo, ___, Mechanical and Energy Engineering
WEI Weicheng, Lecturer of PE, Sports Center
WEI Yan, Lecturer, Mechanical and Energy Engineering
WEI Zhenhua, Assistant Professor, Ocean Science and Engineering
WEI Zhiyi, Associate Professor, Biology
WEI Zuojun, Research Associate, Mechanics and Aerospace Engineering
WEI Xuetao, Associate Professor, Computer Science and Engineering
WEN Jialin, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
WEN Jiaqiang, Assistant Professor, Mathematics
WEN Ruitao," The selector of ""Peacock Project"" of Shenzhen(Class B)", Materials Science and Engineering
WEN Ying, Associate Professor, Art Center
WONG Keith MC, Associate Professor, Chemistry
WU Changfeng, Deputy Department Head, Biomedical Engineering
WU Changning, Research Professor, Academy for Advanced Interdisciplinary Sciences
WU Chunhui, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
WU Decheng, Chair professor, Biomedical Engineering
WU Di, Professor of Engineering Practice, School of System Design and Intelligent Manufacturing
WU Jianping, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
WU Jiayu, Research Assistant Professor, Ocean Science and Engineering
WU Jiazhen, Research Associate Scientist, Materials Science and Engineering
WU Jingshen, Dean of School of System Design and Intelligent Manufacturing, School of System Design and Intelligent Manufacturing
WU Jitao, Visiting Professor, Mathematics
WU Kailiang, Associate Professor, Mathematics
WU Lei, Associate Professor, Mechanics and Aerospace Engineering
WU Liusuo, Research Scientist, Physics
WU Sudong, Research Associate Scientist, Academy for Advanced Interdisciplinary Sciences
WU Yan, Director of the Science and Human Imagination Research Center, Centre for Humanities
WU Yongbo,讲席教授, Mechanical and Energy Engineering
WU Yongliang, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
WU Zhe,助理教授, Biology
Yucheng Wang, Associate Researcher, Institute for Quanfum Science and Engineering
Zewei WANG, Research Assistant Professor, Earth and Space Sciences
Zhigang Wu, Associate Researcher, Institute for Quanfum Science and Engineering
Zhongkai Wang, Research Assistant Professor, Institute for Quanfum Science and Engineering
Zilong Wang, Assistant Professor, Department of Medical Neuroscience
Jiayu WAN, Assistant Professor, Mechanical and Energy Engineering
万敏平, Deputy Head (Research), Mechanics and Aerospace Engineering
Bo XIAO, Professor, Biology
HaiPing Xia, Executive Dean of Shenzhen Grubbs Institute, Grubbs Institute
Haitan Xu, Associate Professor, Institute for Quanfum Science and Engineering
Mingzhao Xing, Thyroid Association's Paul Starr Award, School of Medicine
Siqun Xu, English Instructor, Center for Language Education
Siyuan Xia, Assistant Professor, Department of Human Cell Biology and Genetics
Tao Xin, Associate Researcher, Institute for Quanfum Science and Engineering
XI Lei, Deputy Department Head, Biomedical Engineering
XIA Keqing, Member, Chinese Academy of Sciences (CAS)
XIA wei, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
XIA Yu, Assistant Professor, Environmental Science and Engineering
XIAN Tao, Research Assistant Professor, Mechanics and Aerospace Engineering
XIANG Shaohua, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
XIANG Xiaodong, Chair professor, Materials Science and Engineering
Xiangyou Xing, Associate Professor, Grubbs Institute
XIAO Guozhi, Recipient, Shenzhen Scholar Program
XIAO Kai, Assistant Professor, Biomedical Engineering
XIAO Kai, Research Assistant Professor, Environmental Science and Engineering
Xiao Xiao, Research Assistant Professor, Electrical and Electronic Engineering
XIAO Yinglin, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
XIE Lin, Research Associate Professor, Physics
XIE Xiaojiang, Associate Professor, Chemistry
XIE Yucong, Associate Professor, Materials Characterization and Preparation Center
XIONG Jie, Chair Professor, Mathematics
XIONG Yi, Assistant Professor, School of System Design and Intelligent Manufacturing
XU Baomin," The selector of ""Peacock Project"" of Shenzhen (Class A)", Materials Science and Engineering
XU Bing, Research Assistant Professor, Electrical and Electronic Engineering
XU Chen, Assistant Professor, Chemistry
XU Cong, Visiting Assistant Professor _, Department of Statistics and Data Science
XU Hongli, Research Assistant Professor, School of Innovation and Entrepreneurship
XU Hu, Professor, Physics
XU Jiaju, Research Assistant Professor, Chemistry
XU Jiankuan, Research Assistant Professor, Earth and Space Sciences
XU Jincheng, Research Assistant Professor, Earth and Space Sciences
XU Jing, Professor, Chemistry
XU Jingping, Taishan scholar, Ocean Science and Engineering
XU Minghua, Professor, Chemistry
XU Peng, Research Assistant Professor, Environmental Science and Engineering
XU Qiang, Member of The Engineering Academy of Japan, Member of Indian National Science Academy
XU Shaolin, Assistant Professor, Mechanical and Energy Engineering
Xu Yang, Assistant Professor, School of Medicine
XU Zedong, Research Assistant Professor, Physics
XU Zhenghe, Foreign Academician at the Chinese Academy of Engineering (CAE), Fellow of Royal Society of Canada
XU Zhifang, Associate Professor, Physics
XU ZongXiang, Associate Professor, Chemistry
Xu Shiqing, Assistant Professor, Earth and Space Sciences
XUE Qikun, Member, Chinese Academy of Sciences (CAS)
XUE Yahui, Assistant professor, Mechanics and Aerospace Engineering
Yuan Xu, Assistant Researcher, Institute for Quanfum Science and Engineering
Bowen Yang, Assistant Professor, Department of Finance
Changsheng You, Assistant Professor, Electrical and Electronic Engineering
Chunfu Yang, Assistant Professor, School of Public Health and Emergency Management
Fei Yan, Associate Research, Institute for Quanfum Science and Engineering
Huaiyu Ye, Associate Professor, School of Microelectronics
Huapeng Yu, Assistant Professor, Biology
Kaige Yan, Assistant Professor, Biology
Lingling YE, Associate Professor, Earth and Space Sciences
Ming Yu, Fellow, Canadian Academy of Engineering
QIN Yin, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
Renhong Yan, Assistant Professor, Department of Biochemistry
Shengjun Yang, Associate Researcher, Institute for Quanfum Science and Engineering
Shi Yu, Associate Researcher, Institute for Quanfum Science and Engineering
Tongxing Yan, Assistant Researcher, Institute for Quanfum Science and Engineering
Weijie Yuan, Assistant Professor, Electrical and Electronic Engineering
XiangLong Yu, Research Assistant Professor, Institute for Quanfum Science and Engineering
YAN Feng, Research Associate Professor, Environmental Science and Engineering
YAN Ming, Research Scientist, Materials Science and Engineering
YAN Shuo, Assistant Professor, Department of Finance
YAN Xiaozhi, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
YANG Bing, Associate Professor, Physics
YANG Canhui, Research Associate Scientist, Mechanics and Aerospace Engineering
YANG Dikun, Assistant Professor, Earth and Space Sciences
YANG Dong, Assistant professor, Mechanics and Aerospace Engineering
Yang Feng, Assistant Professor, Chemistry
YANG Guo, Teaching Associate Professor, Centre for Humanities
YANG Hanxu, Lecturer, Political Education and Research Center
Yang He, Distinguished Professor, Centre for Humanities
YANG Hui, Research Associate Professor, Earth and Space Sciences
YANG Jia, Sports field and equipment manager, Sports Center
YANG Jian, Associate Professor, Earth and Space Sciences
YANG Jiang, Associate Professor, Mathematics
YANG Junlong, Research Associate Scientist, Materials Science and Engineering
YANG Li, Lecturer, Centre for Humanities
YANG Liang, 2007 American Society of Microbiology Conference Student Travel Grant USA 2011 Alexander von Humboldt Research Fellowship, Germany 2011 FEMS Congress Grant for Young Scientist 
YANG Lili,教授, Department of Statistics and Data Science
YANG Liupan, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
Yang Shaoman, Lecturer, Political Education and Research Center
YANG Shuanghua, Chair Professor, Computer Science and Engineering
Yang Tian Gang, Associate Professor, Institute for Quanfum Science and Engineering
YANG Ting, Associate Professor, Earth and Space Sciences
YANG Ting, Pujiang Talent, Ocean Science and Engineering
YANG Xin, The State Council Special Allowance Expert, Environmental Science and Engineering
YANG Xueming, Chinese Academy of Sciences Member, Chemistry
YANG Xuning, Lecturer, Department of Finance
YANG Yan, Instructor, Mathematics
YANG Yan, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
YANG Yang, Research Associate Professor, Mechanics and Aerospace Engineering
YANG Yannian, Research Assistant Professor, Mechanics and Aerospace Engineering
YANG Yi,Professor（Adjunct Faculty）, Computer Science and Engineering
YANG Yong, Research Associate Professor, College of Engineering
YANG Zaiyue, Deputy Head of Department (Teaching), Mechanical and Energy Engineering
YANG Zhaojun, Recipient, Shenzhen Scholar Program
YANG Zhentao, Research Assistant Professor, Earth and Space Sciences
YAO Jianquan, Visiting Distinguished Professor (Long-Term), Electrical and Electronic Engineering
YAO Jing, Associate Professor, Mathematics
YAO Mingxi, Assistant Professor, Biomedical Engineering
YAO Qiushi, Research Assistant Professor, Physics
YAO Weiqi, Assistant Professor, Ocean Science and Engineering
YAO Xin, Department Head, Computer Science and Engineering
YE Bin, Assistant Professor, Environmental Science and Engineering
YE Caichao, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
YE Fei, Vice-dean,Teaching Affairs Office
YE Fei, Professor, Materials Science and Engineering
YE Jianhuai, Assistant Professor, College of Engineering
Ye Lin, Fellow of Australian Academy of Technological Science and Engineering (ATSE), School of System Design and Intelligent Manufacturing
YE Liu, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
YE Liying, Research Assistant Professor, College of Business
YE Mao, Research Assistant Professor, Physics
Ye Maoliang, Associate Professor, Division of Information Systems & Management Engineering
YE Qing, Associate Professor, Chemistry
YE Tao, Professor, Electrical and Electronic Engineering
Ye Shengyi, Professor, Earth and Space Sciences
YI Jun,研究助理教授, Mechanical and Energy Engineering
YI Shuping, Research Professor, Environmental Science and Engineering
YIN Xiaoguang, Research Assistant Professor, Environmental Science and Engineering
Yongyang Yu, English Instructor, Center for Language Education
YU Binbin, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
YU Chunquan, Associate Professor, Earth and Space Sciences
YU Cong, Associate Professor, Biology
YU Dapeng, Chinese Academy of Sciences Member, Institute for Quanfum Science and Engineering
YU Hao, Deputy Dean, School of Microelectronics
YU Hongyu, The Institute of Engineering and Technology Fellow, School of Microelectronics
YU Jianqiao, Assistant Professor, Computer Science and Engineering
Yu Peiyuan, Assistant Professor, Chemistry
YU Peng, Deputy Head (Education), Mechanics and Aerospace Engineering
YU Peng, Research Scientist, Materials Science and Engineering
YU Tongxi, Visiting Professor, Mechanics and Aerospace Engineering
YU Xiping, Chair Professor, Ocean Science and Engineering
YU Yajun, Associate Professor, Electrical and Electronic Engineering
YU Yang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
YU Yang, Research Assistant Professor, Chemistry
Yu Yanhao," The selector of ""Peacock Project"" of Shenzhen(Class B)", Materials Science and Engineering
Yu Yong, Research Assistant Professor, Ocean Science and Engineering
YU Shiqi, Associate Professor, Computer Science and Engineering
YUAN Bo, Assistant Professor, Computer Science and Engineering
YUAN Changgeng, Assistant Professor, Social Science Center
Yuan Haijun, Professor, Political Education and Research Center
YUAN Hongyan, Associate Professor, Mechanics and Aerospace Engineering
Yukun Yang, Assistant Professor, Division of Information Systems & Management Engineering
Baotong Zhang, Assistant Professor, Department of Human Cell Biology and Genetics
Bin Zhu, , School of Public Health and Emergency Management
CHEANG U Kei, Assistant Professor, Mechanical and Energy Engineering
CHOU Yu-Min, Assistant Professor, Ocean Science and Engineering
Feichi ZHOU, Assistant Professor, School of Microelectronics
Fucai ZHANG, Associate Professor, Electrical and Electronic Engineering
Fuxing Zeng, Assistant Professor, Biology
Guobiao Zhang, Research Professor, School of Microelectronics
Huawei Zhang, Research Assistant Professor, College of Engineering
Junhua Zhang, Assitant Researcher, Institute for Quanfum Science and Engineering
Li Zhang, Assistant Professor, Biology
Manjin Zhong, Associate Researcher, Institute for Quanfum Science and Engineering
Meizhen Zheng, Assistant Professor, Biology
Pan Zheng, Assistant Researcher, Institute for Quanfum Science and Engineering
QIANCHENG Zhao, Assistant Professor, School of Microelectronics
Wen Zhou, Assistant Professor, Biology
Wenjing ZHAO, , School of Public Health and Emergency Management
Xinting Zhang, English Instructor, Center for Language Education
Yan ZHAO, Assistant Professor, Biology
Yinqian ZHANG, AMiner Most Influential Scholar Honorable Mentions (2020); Honorable Mentions of IEEE MICRO Top Picks (2019); Best of CAL paper (2019); Rising Star Award, Association of Chinese Scholars in Computing (2019); Department of Computer Science and Engineering Outstanding Teaching Award (2019); College of Engineering Lumley Research Award (2019); AMiner Most Influential Scholar Honorable Mentions (2018); National Science Foundation CAREER Award (2018)
Youpeng Zhong, Associate researcher, Institute for Quanfum Science and Engineering
Yu-Feng Zhang, Research Assistant Professor, Grubbs Institute
Zeng Chen, Research Assistant Professor, Department of Pharmacology
ZENG Guosong, Assistant Professor, Mechanical and Energy Engineering
ZENG Lin, Associate professor, Mechanical and Energy Engineering
ZENG Pingping, Tenure Track Assistant Professor, Mathematics
ZENG Zhenzhong, Associate Professor, Environmental Science and Engineering
ZENG Zhirui, Associate Professor, Ocean Science and Engineering
ZHAI Jingying, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
ZHAI Jixian, Associate Professor, Biology
ZHAN Chenchang, Associate Professor, School of Microelectronics
ZHAN Peng, Assistant Professor, Ocean Science and Engineering
ZHANG Bi, Associate Dean for Academic Affairs, Mechanical and Energy Engineering
ZHANG Bintian, Assistant Professor, Environmental Science and Engineering
ZHANG Bo, Associate Professor, Biomedical Engineering
Zhang Chen, Research Assistant Professor, Ocean Science and Engineering
ZHANG Chong, Research Assistant Professor, Biomedical Engineering
ZHANG Chuanlun, Chair Professor, Ocean Science and Engineering
ZHANG Dongxiao, Member of the National Academy of Engineering (USA), Environmental Science and Engineering
ZHANG Hao, Research Assistant Professor, College of Engineering
ZHANG Haofan, Research Associate Professor, School of Innovation and Entrepreneurship
ZHANG Hong, Fellow, Canadian Academy of Engineering
ZHANG Hongmin, Associate Professor, Biology
ZHANG Jian,教授, School of Medicine
Zhang Jianchao, Research Assistant Professor, Department of Biochemistry
Zhang Jianfeng, Chair Professor, Earth and Space Sciences
ZHANG Jianmin, Professor of Engineering Practice, School of System Design and Intelligent Manufacturing
ZHANG Jianming, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
ZHANG Jin, Associate Professor, Computer Science and Engineering
ZHANG Jin, Tenure Track Assistant Professor, Mathematics
ZHANG Jinghong, Associate Professor, Social Science Center
ZHANG kuo, , School of Medicine
ZHANG Liangchi, Australian Academy of Technological Science and Engineering (FTSE), Mechanics and Aerospace Engineering
ZHANG Liyuan, Professor, Physics
ZHANG Lu, Assistant Professor, Biomedical Engineering
Zhang Mingjie, Chair Professor, School of Life Sciences
ZHANG Mingming, Director of NeuroRehab Robotics Lab, College of Engineering
ZHANG Qingfeng, Associate professor, Electrical and Electronic Engineering
ZHANG Shoumin, Professor, Political Education and Research Center
ZHANG Tao, Professor, Political Education and Research Center
ZHANG Tongda,研究助理教授, Mechanical and Energy Engineering
ZHANG Wei, Deputy Head of Department, Earth and Space Sciences
Zhang Wei, Research Associate, School of Medicine
ZHANG Wei, Professor, Mechanical and Energy Engineering
ZHANG Wenlong, Assistant Professor, Mathematics
ZHANG Wenqing, National Natural Science Foundation Outstanding Youth Fund winner/Fellow of the American Physical Society, Materials Science and Engineering
ZHANG Wenyong, Associate dean of teaching, School of Medicine
ZHANG xiaozhe, Research associate, Department of Medical Neuroscience
ZHANG Xin, Assistant professor, Mechanics and Aerospace Engineering
ZHANG Xinhai, Shenzhen Pengcheng Scholar, Electrical and Electronic Engineering
ZHANG Xumu, Chair Professor, Chemistry
Zhang Yingdan, Research Assistant Professor, School of Medicine
ZHANG Youkuan, American Geological Society Fellow, Environmental Science and Engineering
ZHANG Yuanzhu, Associate Professor, Chemistry
