LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,YrSold,const
8731,5,5,1920,1950,1167,1,3,1,2007,1
7875,5,6,1961,1961,1144,1,3,1,2008,1
10791,4,5,1967,1967,1296,2,2,2,2006,1
10320,6,7,1906,1995,1469,1,3,1,2008,1
27650,7,7,1960,2007,2069,2,4,1,2008,1
8544,3,4,1949,1950,1040,2,2,2,2006,1
9375,7,5,2003,2004,2094,2,4,1,2009,1
9158,8,5,2007,2007,1496,2,3,1,2007,1
7200,5,7,1951,2000,900,1,3,1,2010,1
21750,5,5,1954,1954,988,1,2,1,2008,1
7399,7,5,1997,1998,1950,2,3,1,2007,1
6930,5,4,1958,1958,1352,1,3,1,2006,1
6180,6,5,1926,1950,986,1,2,1,2007,1
20544,7,6,1986,1991,2093,2,3,1,2008,1
10264,7,5,1999,1999,1588,2,3,1,2006,1
13265,8,5,2002,2002,1689,2,3,1,2008,1
12122,7,9,1961,2007,999,1,3,1,2008,1
14684,7,7,1990,1991,2196,2,3,1,2009,1
23595,7,6,1979,1979,1524,0,0,1,2010,1
4045,7,5,2006,2006,1500,2,2,1,2006,1
12327,8,8,1983,2009,2132,1,1,1,2009,1
8158,7,5,2003,2003,1768,2,3,1,2008,1
8100,5,5,1898,1965,2138,2,2,3,2009,1
13450,7,5,2002,2002,1861,2,3,1,2006,1
9750,7,5,2000,2001,1630,2,3,1,2009,1
11900,7,5,1977,1977,1411,2,3,1,2009,1
9100,7,5,2001,2001,1212,2,3,1,2009,1
7500,7,5,2004,2005,1221,2,2,1,2009,1
12209,6,5,2001,2002,1961,2,3,1,2009,1
6979,6,5,1980,1980,1056,0,0,2,2010,1
14803,10,5,2007,2008,2084,2,2,1,2008,1
15384,7,5,2004,2005,1490,2,3,1,2008,1
11844,8,5,2008,2008,2046,2,3,1,2009,1
7200,5,7,1920,1996,1111,1,3,1,2007,1
9473,8,5,2002,2002,2031,2,3,1,2008,1
10463,8,5,2005,2005,1801,2,3,1,2006,1
7162,5,7,1966,1966,904,1,3,1,2008,1
11228,7,5,1993,1993,2097,2,3,1,2008,1
11316,7,5,2002,2003,1894,2,4,1,2010,1
15865,8,6,1970,1970,2217,2,4,1,2007,1
9200,8,5,1998,1998,2630,2,4,1,2008,1
8172,4,6,1954,1972,1470,2,4,1,2008,1
8635,5,5,1948,2001,1285,1,2,1,2008,1
7862,6,5,2009,2009,1218,2,2,1,2009,1
10215,4,5,1954,1954,948,1,3,1,2007,1
5119,9,5,1999,2000,1709,2,2,1,2008,1
7892,6,5,1979,1979,918,2,2,1,2010,1
1680,6,5,1971,1971,1092,1,3,1,2010,1
10918,7,9,1926,2004,2080,1,3,1,2009,1
11040,6,7,1971,2004,1258,2,3,1,2008,1
8450,7,5,2004,2004,1436,2,3,1,2008,1
16381,6,5,1969,1969,1844,2,3,1,2006,1
7136,6,6,1946,1950,1958,2,4,2,2007,1
10382,7,6,1973,1973,2090,2,3,1,2009,1
11210,7,5,2005,2006,1614,2,3,1,2006,1
2522,7,5,2004,2004,1709,2,3,1,2006,1
3735,7,5,1999,1999,1452,2,3,1,2006,1
11317,7,5,2003,2003,1668,2,3,1,2007,1
12090,8,5,1998,1998,2263,2,4,1,2006,1
4388,5,7,1930,1950,840,1,3,1,2007,1
12444,8,5,2008,2008,1932,2,2,1,2008,1
9000,5,5,1974,1974,1792,2,4,2,2009,1
8450,5,8,1965,2009,894,1,3,1,2010,1
8160,5,6,1940,1950,1134,1,3,1,2007,1
10944,7,5,1994,1994,2127,2,3,1,2008,1
14720,8,5,1995,1996,3238,2,4,1,2010,1
11616,5,5,1962,1962,1092,1,3,1,2009,1
13673,5,5,1962,1962,1696,1,3,1,2007,1
13173,9,5,2006,2007,1652,2,2,1,2009,1
16059,8,5,1991,1992,2417,2,4,1,2006,1
6762,7,5,2007,2007,1208,2,2,1,2007,1
2308,6,5,1974,1974,1322,2,3,1,2009,1
10083,7,5,2003,2003,1200,2,2,1,2009,1
5587,8,5,2008,2008,1652,2,2,1,2008,1
10690,5,7,1920,1997,1344,1,3,1,2009,1
11409,5,4,1949,2008,1716,1,3,1,2009,1
4923,8,5,2001,2002,1593,1,0,1,2008,1
9303,6,5,1996,1997,1756,2,3,1,2007,1
8410,5,3,1910,1996,1184,1,5,1,2006,1
9600,5,8,1925,1994,1472,1,3,1,2007,1
9492,5,5,1941,1950,1376,1,3,1,2007,1
21780,6,7,1918,1950,1674,2,4,1,2008,1
9965,8,5,2006,2007,2828,3,4,1,2007,1
8640,7,5,2007,2008,1372,2,3,1,2008,1
14892,9,5,2006,2007,1746,2,3,1,2009,1
1953,6,5,1973,1973,987,1,2,1,2006,1
19138,4,5,1951,1951,864,1,2,1,2010,1
50271,9,5,1981,1987,1842,0,0,1,2006,1
12224,6,5,2000,2000,2054,2,3,1,2009,1
4571,5,5,1916,1950,1344,1,4,1,2008,1
9060,6,5,1939,1950,1258,1,2,1,2009,1
20431,9,5,2005,2006,2728,2,4,1,2006,1
16158,7,5,2005,2005,1530,2,3,1,2009,1
14601,9,5,2006,2006,1838,2,2,1,2009,1
8072,5,5,1994,1995,990,1,3,1,2009,1
6000,6,7,1926,2004,904,1,2,1,2009,1
9600,6,6,1958,1988,1632,2,3,1,2009,1
9405,5,9,1947,2008,698,1,2,1,2009,1
6762,7,5,2006,2006,1208,2,2,1,2010,1
10624,5,4,1964,1964,1728,2,6,2,2007,1
11694,9,5,2007,2007,1828,2,3,1,2007,1
11999,8,5,2003,2004,2374,2,4,1,2007,1
7750,8,5,2002,2002,1419,2,3,1,2009,1
1680,6,5,1971,1971,987,1,2,1,2008,1
12984,5,6,1977,1977,1647,2,3,1,2006,1
10994,8,5,2005,2006,1844,2,2,1,2009,1
10208,7,5,1996,1997,2344,2,3,1,2009,1
1680,5,5,1971,1971,1302,2,3,1,2009,1
8450,5,6,1968,1968,1056,1,3,1,2010,1
9100,5,6,1930,1960,935,1,2,1,2008,1
10542,7,5,1993,1994,2418,2,3,1,2008,1
5232,5,5,1925,2004,764,1,2,1,2008,1
12155,6,8,1925,1950,1482,2,4,1,2008,1
10930,5,6,1945,1950,1558,1,3,1,2008,1
7910,5,5,1960,1960,1507,2,4,1,2008,1
9042,6,5,1998,1998,1638,2,3,1,2008,1
11625,5,4,1965,1965,1039,1,3,1,2010,1
8120,4,7,1970,1970,864,1,3,1,2009,1
159000,6,7,1958,2006,2144,2,4,1,2007,1
2001,4,5,1970,1970,1092,1,3,1,2007,1
8480,5,5,1947,1950,1216,1,2,1,2008,1
10708,5,5,1955,1993,1867,1,2,1,2009,1
6600,5,4,1892,1965,2372,2,4,2,2009,1
12702,5,5,1956,1956,882,1,2,1,2008,1
3072,7,5,2004,2004,1414,2,2,1,2006,1
9786,3,4,1922,1950,1077,1,3,1,2006,1
8475,4,7,1956,1956,952,1,2,1,2008,1
16492,6,6,1966,2002,1888,2,2,1,2010,1
10594,5,5,1926,1950,789,1,2,1,2007,1
12900,4,4,1969,1969,1258,0,0,2,2008,1
10380,7,5,1986,1987,2730,2,4,1,2007,1
5436,4,8,1922,2007,1154,1,3,1,2010,1
7658,9,5,2005,2005,1752,2,2,1,2010,1
6000,5,6,1957,1957,928,1,3,1,2008,1
13175,6,6,1978,1988,2073,2,3,1,2010,1
4712,4,7,1946,1950,1230,1,3,1,2006,1
4750,8,5,2006,2007,1625,2,2,1,2007,1
46589,8,7,1994,2005,2448,2,4,1,2009,1
9120,7,6,1925,1950,1820,2,4,1,2008,1
8640,7,5,2009,2009,1547,2,3,1,2010,1
9135,6,5,2003,2003,1700,2,3,1,2006,1
12220,10,5,2009,2009,2020,2,3,1,2009,1
6300,6,6,1914,2001,1484,2,3,1,2008,1
1680,6,7,1972,1972,1218,1,3,1,2006,1
12546,6,7,1981,1981,1440,2,3,1,2007,1
17120,4,4,1959,1959,1588,2,4,1,2008,1
14572,7,5,2004,2004,1530,2,3,1,2007,1
11782,5,7,1961,1995,1155,1,3,1,2010,1
11751,6,6,1977,1977,1844,2,3,1,2010,1
8125,7,6,2007,2007,1665,2,3,1,2008,1
5350,3,2,1940,1966,1306,1,3,1,2010,1
8960,5,6,1927,1950,1028,1,2,1,2010,1
11426,7,5,2003,2003,2082,2,3,1,2008,1
6240,6,6,1934,1950,1176,1,3,1,2006,1
12342,5,5,1960,1978,1422,1,3,1,2007,1
14859,7,5,2006,2006,1670,2,3,1,2006,1
10800,4,6,1927,2007,968,2,4,1,2007,1
12227,6,7,1977,1995,2872,2,4,1,2008,1
7200,4,5,1950,1950,1040,1,2,1,2006,1
10237,6,5,2005,2007,1484,2,3,1,2007,1
7018,5,5,1979,1979,2240,2,6,2,2009,1
14375,6,6,1958,1958,1344,1,3,1,2009,1
24090,7,7,1940,1950,2403,2,4,1,2010,1
7879,4,5,1920,1950,720,1,2,1,2009,1
11670,9,5,2006,2006,1905,2,3,1,2007,1
25419,8,4,1918,1990,3112,2,4,1,2006,1
8320,7,5,2004,2004,1582,2,3,1,2008,1
5820,3,8,1955,2005,1163,1,3,1,2006,1
7207,5,7,1958,2008,858,1,2,1,2010,1
10084,8,5,2004,2005,1694,2,3,1,2007,1
15863,7,3,1920,1970,3082,2,5,1,2009,1
9842,4,5,1962,1962,1224,2,2,2,2007,1
9200,6,6,1965,1965,1136,1,3,1,2008,1
8250,5,5,1968,1968,1211,1,3,1,2008,1
8925,8,5,2007,2007,1466,2,3,1,2009,1
8872,5,8,1965,2008,912,1,2,1,2008,1
8400,5,8,1939,1997,2192,2,4,1,2008,1
9000,5,3,1959,1959,1006,1,3,1,2008,1
12011,8,5,1998,1998,1924,2,3,1,2006,1
8063,6,5,2000,2000,1690,2,3,1,2007,1
11198,9,5,2005,2007,2504,2,4,1,2008,1
17503,6,5,1948,1950,1458,1,3,1,2010,1
12474,10,5,2007,2008,2332,2,3,1,2008,1
9206,6,5,1985,1985,1732,2,3,1,2010,1
8877,4,6,1938,1958,816,1,2,1,2009,1
8400,6,5,1966,1966,913,1,3,1,2007,1
115149,7,5,1971,2002,1824,2,2,1,2007,1
14100,8,9,1935,1997,3447,3,4,1,2008,1
10029,6,5,1988,1989,2060,2,4,1,2007,1
6305,5,7,1938,1950,954,1,2,1,2007,1
6342,5,8,1875,1996,1020,1,2,1,2010,1
10159,9,5,2009,2010,1940,2,3,1,2010,1
10206,8,5,2007,2007,1563,2,3,1,2008,1
9000,8,5,2007,2007,2610,2,4,1,2007,1
9525,6,4,1954,1972,1855,2,4,1,2006,1
9612,8,5,2008,2009,1468,2,3,1,2009,1
8172,5,7,1955,1990,864,1,2,1,2006,1
8400,2,5,1920,1950,438,1,1,1,2009,1
13125,7,6,1940,1984,1740,1,3,1,2007,1
8000,6,6,1948,2002,972,1,2,1,2009,1
12180,4,4,1941,1950,924,1,2,1,2010,1
17423,9,5,2008,2009,2234,2,1,1,2009,1
10496,6,6,1949,1950,1846,2,3,1,2007,1
12925,6,7,1970,1970,2117,2,4,1,2008,1
11600,6,5,1960,1960,1383,1,3,1,2006,1
9760,6,8,1964,1993,1851,2,3,1,2007,1
10140,7,5,1998,1999,1680,2,3,1,2009,1
17500,7,8,1959,2002,1902,2,3,1,2010,1
9375,8,5,2003,2004,1992,2,3,1,2008,1
4438,6,5,2004,2004,848,1,1,1,2008,1
8923,5,7,1953,2006,1008,1,2,1,2007,1
14260,8,5,2000,2000,2198,2,4,1,2008,1
15611,8,5,2006,2006,1919,2,3,1,2006,1
8070,4,5,1994,1995,990,1,3,1,2007,1
10800,5,5,1987,1988,1200,3,3,1,2009,1
9858,5,6,1968,1968,874,1,3,1,2009,1
9572,8,5,1990,1990,2810,2,4,1,2007,1
13006,7,5,1997,1997,2236,2,4,1,2006,1
9000,5,6,1880,1991,1750,1,3,1,2006,1
2217,4,4,1970,1970,1092,1,3,1,2009,1
9430,8,5,1999,1999,2365,2,3,1,2009,1
8500,5,3,1961,1961,1235,1,2,1,2006,1
14154,7,5,2006,2006,2172,2,3,1,2007,1
10171,7,5,2004,2004,1535,2,3,1,2010,1
6000,5,7,1921,1950,616,1,2,1,2006,1
11526,6,7,1922,1994,2555,2,3,1,2008,1
7244,5,7,1970,1970,768,1,2,1,2007,1
9808,7,5,2002,2002,1573,2,3,1,2009,1
7200,5,8,1950,2002,864,1,3,1,2007,1
3182,7,5,2005,2006,1504,2,2,1,2008,1
8750,7,5,1994,1995,1908,2,4,1,2008,1
7350,5,7,1951,1951,952,1,2,1,2008,1
13704,7,5,2001,2002,1541,2,3,1,2006,1
4224,5,5,1976,1976,1142,1,3,1,2007,1
11664,6,5,1948,1950,1082,1,2,1,2007,1
11932,8,5,2007,2008,1580,2,3,1,2008,1
10678,8,5,1992,2000,2872,2,4,1,2007,1
13125,7,5,1991,1991,2127,2,4,1,2007,1
9187,9,5,2009,2009,1766,2,2,1,2009,1
6993,5,7,1961,1994,1236,1,3,1,2006,1
8935,7,5,2002,2002,1660,2,3,1,2009,1
11200,5,5,1965,1965,1040,1,3,1,2008,1
8775,5,5,1994,1994,990,1,3,1,2007,1
6120,5,8,1920,2004,1513,1,4,1,2007,1
17104,7,5,2006,2006,1496,2,3,1,2006,1
10712,5,5,1991,1992,974,1,3,1,2007,1
3880,5,9,1945,1997,866,1,2,1,2007,1
14200,7,6,1966,1966,2157,2,4,1,2006,1
7800,5,6,1954,1954,1268,1,2,1,2010,1
13693,9,5,2006,2006,2643,2,3,1,2007,1
5925,4,7,1937,2000,1131,1,2,1,2007,1
10335,5,6,1968,1993,1721,2,3,1,2006,1
10991,8,5,2007,2007,1571,2,3,1,2007,1
7500,7,5,2004,2005,1080,1,3,1,2008,1
11333,6,5,1976,1976,1062,1,3,1,2007,1
13072,6,5,2005,2005,1141,1,3,1,2006,1
6442,8,5,2006,2006,1370,2,2,1,2007,1
11988,6,7,1934,1995,1660,1,3,1,2008,1
1936,4,6,1970,1970,630,1,1,1,2007,1
10434,4,5,1955,1955,1005,1,2,1,2009,1
3600,6,7,1910,1993,1368,1,3,1,2006,1
14587,9,5,2008,2008,1506,2,2,1,2008,1
8125,7,5,2006,2006,1576,2,3,1,2006,1
8487,7,5,2004,2004,1500,2,3,1,2009,1
6270,5,6,1949,1950,2002,2,4,2,2007,1
3182,8,5,2004,2005,1269,2,2,1,2010,1
13758,7,5,1990,1991,1717,2,3,1,2007,1
2544,7,5,2005,2005,1223,2,2,1,2006,1
5001,7,5,2007,2008,1314,2,2,1,2009,1
6600,5,5,1962,1962,894,1,2,1,2009,1
7937,6,6,1984,1984,1003,1,3,1,2006,1
8820,5,6,1890,1996,1869,1,2,1,2009,1
11923,9,5,2007,2007,1800,2,2,1,2009,1
8600,6,6,1937,1950,1376,2,3,1,2006,1
14191,8,5,2002,2002,1908,2,4,1,2010,1
9600,7,7,1925,1990,1641,1,3,1,2006,1
53227,4,6,1954,1994,1663,1,2,1,2008,1
5925,3,6,1910,1950,968,1,2,1,2009,1
2280,7,5,1999,1999,1501,2,3,1,2008,1
11248,9,5,2002,2002,1668,2,3,1,2007,1
9262,8,5,2008,2009,1578,2,3,1,2009,1
10880,5,5,1950,1950,1164,1,3,1,2008,1
11362,8,5,2004,2005,1836,2,3,1,2009,1
5000,1,3,1946,1950,334,1,1,1,2007,1
